Algorithm,Size,Type,Time(ms)
3-Way Merge,1000,RandomString,3.835699986666441
Cycle,1000,RandomString,132.5738001614809
Timsort,1000,RandomString,2.20950017683208
Bubble,1000,SortedString,56.78360001184046
Insertion,1000,SortedString,0.1955998595803976
Selection,1000,SortedString,44.86149991862476
Merge,1000,SortedString,2.0842000376433134
Quick,1000,SortedString,1.8807000014930964
Heap,1000,SortedString,4.349099937826395
3-Way Merge,1000,SortedString,2.621500054374337
Cycle,1000,SortedString,36.831900011748075
Timsort,1000,SortedString,0.1463000662624836
Bubble,1000,ReverseString,97.26430010050535
Insertion,1000,ReverseString,83.80730007775128
Selection,1000,ReverseString,46.069299802184105
Merge,1000,ReverseString,2.2293999791145325
Quick,1000,ReverseString,1.78799987770617
Heap,1000,ReverseString,3.7380000576376915
3-Way Merge,1000,ReverseString,2.7492998633533716
Cycle,1000,ReverseString,71.59950002096593
Timsort,1000,ReverseString,0.358999939635396
Merge,5000,Random,19.08429991453886
Quick,5000,Random,14.320199843496084
Heap,5000,Random,27.231100015342236
3-Way Merge,5000,Random,20.163899986073375
Counting,5000,Random,15.907799825072289
Radix,5000,Random,9.55459987744689
Timsort,5000,Random,15.070999972522259
Merge,5000,Sorted,11.27799996174872
Quick,5000,Sorted,9.526100009679794
Heap,5000,Sorted,24.81410000473261
3-Way Merge,5000,Sorted,14.957899926230311
Timsort,5000,Sorted,0.5534000229090452
Merge,5000,Reverse,13.32699996419251
Quick,5000,Reverse,9.358200011774898
Heap,5000,Reverse,23.451999993994832
3-Way Merge,5000,Reverse,15.770100057125092
Timsort,5000,Reverse,0.6817998364567757
Merge,5000,AlmostSorted,16.043399926275015
Quick,5000,AlmostSorted,10.991999879479408
Heap,5000,AlmostSorted,24.921300122514367
3-Way Merge,5000,AlmostSorted,16.680900007486343
Timsort,5000,AlmostSorted,6.838100031018257
Merge,5000,FewUnique,16.782599966973066
Quick,5000,FewUnique,2.095799893140793
Heap,5000,FewUnique,21.343299886211753
3-Way Merge,5000,FewUnique,19.35290009714663
Timsort,5000,FewUnique,11.995600070804358
Merge,5000,RandomFloat,18.45189998857677
Quick,5000,RandomFloat,13.845900073647499
Heap,5000,RandomFloat,24.847800144925714
3-Way Merge,5000,RandomFloat,18.159399973228574
Timsort,5000,RandomFloat,11.93709997460246
Merge,5000,SortedFloat,10.91329986229539
Quick,5000,SortedFloat,9.926100028678775
Heap,5000,SortedFloat,26.56550006940961
3-Way Merge,5000,SortedFloat,15.416800044476986
Timsort,5000,SortedFloat,0.5312999710440636
Merge,5000,ReverseFloat,12.072100071236491
Quick,5000,ReverseFloat,9.841399965807796
Heap,5000,ReverseFloat,23.45949993468821
