Algorithm,Size,Type,Time(ms)
3-Way Merge,5000,ReverseFloat,16.658099833875895
Timsort,5000,ReverseFloat,0.6730000022798777
Merge,5000,RandomString,19.69800004735589
Quick,5000,RandomString,16.080000204965472
Heap,5000,RandomString,26.293399976566434
3-Way Merge,5000,RandomString,21.127099869772792
Timsort,5000,RandomString,13.607399770990014
Merge,5000,SortedString,12.185600120574236
Quick,5000,SortedString,12.924600159749389
Heap,5000,SortedString,30.66459996625781
3-Way Merge,5000,SortedString,16.151899937540293
Timsort,5000,SortedString,0.7202001288533211
Merge,5000,ReverseString,14.29149997420609
Quick,5000,ReverseString,11.552500072866678
Heap,5000,ReverseString,25.214599911123514
3-Way Merge,5000,ReverseString,16.354900086298585
Timsort,5000,ReverseString,3.2969999592751265
Merge,10000,Random,44.42549985833466
Quick,10000,Random,33.603399991989136
Heap,10000,Random,53.578299935907125
3-Way Merge,10000,Random,43.94529992714524
Counting,10000,Random,22.874899907037616
Radix,10000,Random,25.92639997601509
Timsort,10000,Random,29.486900195479393
Merge,10000,Sorted,23.86570000089705
Quick,10000,Sorted,24.440799839794636
Heap,10000,Sorted,54.27980003878474
3-Way Merge,10000,Sorted,30.19799990579486
Timsort,10000,Sorted,1.1301999911665916
Merge,10000,Reverse,24.403300136327744
Quick,10000,Reverse,18.62220000475645
Heap,10000,Reverse,48.143599880859256
3-Way Merge,10000,Reverse,31.287599820643663
Timsort,10000,Reverse,1.3294999953359365
Merge,10000,AlmostSorted,30.74149996973574
Quick,10000,AlmostSorted,19.510299898684025
Heap,10000,AlmostSorted,60.557999880984426
3-Way Merge,10000,AlmostSorted,37.73660003207624
Timsort,10000,AlmostSorted,19.61630000732839
Merge,10000,FewUnique,35.82939994521439
Quick,10000,FewUnique,4.404099890962243
Heap,10000,FewUnique,48.866699915379286
3-Way Merge,10000,FewUnique,43.321600183844566
Timsort,10000,FewUnique,25.937800062820315
Merge,10000,RandomFloat,38.79630006849766
Quick,10000,RandomFloat,28.758900007233024
