Algorithm,Size,Type,Time(ms)
Radix,5000,Random,6.045999994967133
Python,5000,Random,0.48400001833215356
Merge,5000,Sorted,6.736300012562424
Quick,5000,Sorted,5.747399991378188
Heap,5000,Sorted,15.245400019921362
3-Way Merge,5000,Sorted,19.52899998286739
Python,5000,Sorted,0.02500001573935151
Merge,5000,Reverse,6.80939998710528
Quick,5000,Reverse,5.275000003166497
Heap,5000,Reverse,13.16850003786385
3-Way Merge,5000,Reverse,19.03550000861287
Python,5000,Reverse,0.024200009647756815
Merge,5000,AlmostSorted,8.546099998056889
Quick,5000,AlmostSorted,5.623300035949796
Heap,5000,AlmostSorted,16.05620002374053
3-Way Merge,5000,AlmostSorted,20.36189998034388
Python,5000,AlmostSorted,0.10050000855699182
Merge,5000,FewUnique,9.875899995677173
Quick,5000,FewUnique,1.3846000074408948
Heap,5000,FewUnique,12.976999976672232
3-Way Merge,5000,FewUnique,19.817100022919476
Python,5000,FewUnique,0.2668000524863601
